,name,manhat_pp,zero_pp,manhat_pp_sm,zero_pp_sm,dist,dist^2,dist_sm,dist_sm^2
99,TRUBEY,0.35800187491629826,0.24781341107871688,0.13198534106102736,0.30684351069229615,0.631578947,0.454736842,0.285714285,0.081632653
125,TRENTLY,0.04329717423329284,0.5481049562682215,0.07344612425722336,0.3312515172246375,0.631578947,0.454736842,0.285714285,0.081632653
90,TANNER,0.0006428284451586061,0.05150631681243885,0.06673678796509701,0.120296603623685,0.631578947,0.454736842,0.285714285,0.081632653
199,TANGER,0.0009240658899155805,0.0719144800777451,0.07187958183571379,0.13075717785183066,0.578947368,0.393684210,0.285714285,0.081632653
200,TUCHER,0.3168340699075931,0.21574344023323583,0.12178220292092692,0.16736918765034375,0.578947368,0.393684210,0.285714285,0.081632653
87,TRUSLER,0.06595687692513696,0.3148688046647228,0.08548376602251269,0.21792862975305036,0.578947368,0.393684210,0.285714285,0.081632653
183,TROOPE,0.03702959689299564,0.0932944606413993,0.0643045247317012,0.275461788007857,0.631578947,0.454736842,0.285714285,0.081632653
177,TURBEN,0.4205437257265298,0.25947521865889217,0.13713844113178328,0.44283097565819857,0.631578947,0.454736842,0.285714285,0.081632653
24,TRANTER,0.04912280701754374,0.3731778425655977,0.020678379532668784,0.4480612627722725,0.210526315,0.084210526,0.285714285,0.081632653
166,TASKEY,0.26953261015133245,0.270165208940719,0.12246241213026696,0.33648180433871144,0.526315789,0.336842105,0.285714285,0.081632653
136,TRAPPE,0.03763224856033214,0.13702623906705513,0.06425299373099216,0.26674464281773524,0.631578947,0.454736842,0.285714285,0.081632653
29,TRUBEE,0.357881344582831,0.23906705539358591,0.12596652017838184,0.4166795400878333,0.578947368,0.393684210,0.285714285,0.081632653
178,TAPPER,0.0006428284451586061,0.05150631681243885,0.07434276366953535,0.1394743230419524,0.578947368,0.393684210,0.285714285,0.081632653
32,TASSEY,0.000401767778224185,0.03401360544217693,0.07495082947788473,0.2092114845629286,0.526315789,0.336842105,0.285714285,0.081632653
34,TRAUGH,0.03944020356234075,0.26822157434402316,0.06885986519425023,0.4201663981638833,0.631578947,0.454736842,0.285714285,0.081632653
153,TURPEN,0.0908530869157624,0.023323615160349573,0.07408510866599848,0.31207379780637007,0.631578947,0.454736842,0.285714285,0.081632653
151,TASAKA,0.012695861791884155,0.33138969873663726,0.06442819913339923,0.4044755368216637,0.578947368,0.393684210,0.285714285,0.081632653
20,TROUNG,0.037431364671219824,0.12244897959183652,0.13428362369258431,0.6485556021450793,0.578947368,0.393684210,0.285714285,0.081632653
148,TRENTER,0.04136462036335373,0.338121686287535,0.0,0.46124732416745745,0.210526315,0.084210526,0.285714285,0.081632653
193,TROWER,0.03735101111557517,0.11661807580174888,0.07918667773604703,0.1412177520799785,0.578947368,0.393684210,0.285714285,0.081632653
40,TARRATS,0.003856970670952086,0.28474246841593764,0.05980071526985788,0.30684351069229615,0.526315789,0.336842105,0.285714285,0.081632653
41,TRUPPA,0.03646712200348169,0.034985422740524866,0.06981834180741042,0.3783241012512963,0.578947368,0.393684210,0.285714285,0.081632653
5,TUNGET,0.09169679925003331,0.08454810495626784,0.09711946598228216,0.2963829364641505,0.578947368,0.393684210,0.285714285,0.081632653
45,TROUPE,0.037431364671219824,0.12244897959183652,0.06511871454288007,0.2946395074261244,0.578947368,0.393684210,0.285714285,0.081632653
197,TAMRAT,0.0012856568903172121,0.09815354713313901,0.08366987479760706,0.3696069560611745,0.578947368,0.393684210,0.285714285,0.081632653
2,TRANTHI,0.12855229677246516,0.7725947521865889,0.19793471576657767,0.6380950279169336,0.578947368,0.393684210,0.285714285,0.081632653
94,TRENDE,0.040524976563546096,0.34693877551020386,0.0654382067472668,0.3451989495288332,0.631578947,0.454736842,0.428571428,0.183673469
194,TRESLER,0.08206776483192692,0.37609329446064105,0.07121998502665704,0.23884977820934386,0.736842105,0.589473684,0.428571428,0.183673469
174,TRAUBE,0.06603723048078207,0.4198250728862974,0.06764373357755149,0.348685807604881,0.631578947,0.454736842,0.428571428,0.183673469
134,TRAYLOR,0.08210794160974946,0.4373177842565598,0.07758921671411337,0.22315891686712427,0.631578947,0.454736842,0.428571428,0.183673469
163,TRAXLER,0.08005892594080599,0.4198250728862974,0.07257009724519463,0.20398119744885687,0.684210526,0.52,0.428571428,0.183673469
101,TRANBY,0.06535422525780091,0.4110787172011659,0.07017905881236372,0.23361949109526994,0.684210526,0.52,0.428571428,0.183673469
171,TROXLER,0.07957680460693714,0.38483965014577254,0.07385837226288403,0.22141548782910037,0.684210526,0.52,0.428571428,0.183673469
168,TAYNOR,4.0176777822103766e-05,0.007774538386783021,0.058254785248631605,0.0697371615209762,0.736842105,0.589473684,0.428571428,0.183673469
161,TAVITAS,0.4447837150127226,0.4859086491739554,0.15723553140773652,0.5369761437115183,0.421052631,0.235789473,0.428571428,0.183673469
149,TRUEBA,0.05876523369492418,0.31195335276967895,0.0682208807854751,0.3975018206695659,0.684210526,0.52,0.428571428,0.183673469
113,TRAPPS,0.03763224856033214,0.13702623906705513,0.06281012571118064,0.1725994747644177,0.736842105,0.589473684,0.428571428,0.183673469
118,TURNEY,0.09101379402705216,0.034985422740524866,0.07266285304646856,0.06625030344492838,0.684210526,0.52,0.428571428,0.183673469
89,TROBEC,0.37105932770858446,0.3265306122448981,0.12811020980781668,0.30161322357822223,0.684210526,0.52,0.428571428,0.183673469
139,TRYBAN,0.36471139681264214,0.3002915451895042,0.1306661474429122,0.5300024275594204,0.631578947,0.454736842,0.428571428,0.183673469
128,TRABUE,0.36941207981786517,0.4110787172011659,0.13239758906668636,0.3835543883653702,0.631578947,0.454736842,0.428571428,0.183673469
137,TRAYLER,0.08206776483192692,0.434402332361516,0.07307510105212925,0.20398119744885687,0.736842105,0.589473684,0.428571428,0.183673469
173,TURBAK,0.422391857506361,0.3935860058309035,0.1367468055264059,0.2405932072473678,0.631578947,0.454736842,0.428571428,0.183673469
142,TRUCCO,0.03598500066961285,0.0,0.06328421091769115,0.2266457749431743,0.684210526,0.52,0.428571428,0.183673469
0,TREBON,0.368729074594884,0.36151603498542245,0.13425270509216022,0.5247721404453465,0.684210526,0.52,0.428571428,0.183673469
23,TROUBA,0.06137672425338161,0.38775510204081637,0.06788077618080675,0.4131926820117855,0.736842105,0.589473684,0.428571428,0.183673469
47,TARROW,0.0009240658899155805,0.0719144800777451,0.05991408347141511,0.1725994747644177,0.684210526,0.52,0.428571428,0.183673469
46,TRAVISS,0.19777688496049264,0.3935860058309035,0.1111462043748842,0.5003641339130052,0.421052631,0.235789473,0.428571428,0.183673469
44,TURANO,0.0908530869157624,0.023323615160349573,0.06952976820344778,0.16911261668836766,0.684210526,0.52,0.428571428,0.183673469
50,TRYBUS,0.3649524574795766,0.3177842565597666,0.12901715542027117,0.4201663981638833,0.631578947,0.454736842,0.428571428,0.183673469
54,TAWZER,0.015252257612821205,0.20152907455929914,0.5455582152727121,0.4560335885948837,0.105263157,0.033684210,0.428571428,0.183673469
25,TREADO,0.04056515334136865,0.3411078717201167,0.06444881153368086,0.2894092203120527,0.736842105,0.589473684,0.428571428,0.183673469
57,TWOHILL,0.2207713941341903,0.6851311953352767,0.22885331619112154,0.7601350605786403,0.631578947,0.454736842,0.428571428,0.183673469
58,TRUNZO,0.036828713003883774,0.06122448979591826,0.06328421091769115,0.2266457749431743,0.684210526,0.52,0.428571428,0.183673469
18,TRONCO,0.03690906655952843,0.08454810495626784,0.06338727291910591,0.25279721051353954,0.684210526,0.52,0.428571428,0.183673469
64,TABORN,0.4244140886567564,0.3722060252672498,0.1383133479479171,0.4724692693046138,0.684210526,0.52,0.428571428,0.183673469
48,TURBES,0.4205035489487073,0.25655976676384834,0.13205748446201634,0.22838920398119822,0.736842105,0.589473684,0.428571428,0.183673469
80,TAEGER,0.00044194455604628876,0.03692905733722024,0.06110960268783056,0.08019773574912406,0.684210526,0.52,0.428571428,0.183673469
84,TRUNKO,0.05426543457881349,0.3294460641399414,0.06675740036538029,0.33996866241475926,0.631578947,0.454736842,0.428571428,0.183673469
9,TROCHE,0.06892995848399602,0.3586005830903791,0.06680893136608768,0.2876657912740265,0.736842105,0.589473684,0.428571428,0.183673469
82,TARLTON,0.35292620865139956,0.48299319727891155,0.12796592300583537,0.5300024275594204,0.684210526,0.52,0.428571428,0.183673469
184,TAWIAH,0.22465514932369093,0.3459669582118559,0.11277458399724362,0.5160549952552248,0.473684210,0.284210526,0.571428571,0.326530612
36,TRUONG,0.03630641489219238,0.023323615160349573,0.19671858414987892,0.6799373248295185,0.473684210,0.284210526,0.571428571,0.326530612
37,TRAFTON,0.746256863532878,0.7842565597667637,0.19578071993700202,0.7095756184759338,0.315789473,0.151578947,0.571428571,0.326530612
38,TRAVLOS,0.08401748283163207,0.4572769433270593,0.029700935923646202,0.5446670933286242,0.263157894,0.115789473,0.571428571,0.326530612
39,TRETIAK,0.4018749162983795,0.6676384839650148,0.1217925091210694,0.37658067221327235,0.736842105,0.589473684,0.571428571,0.326530612
144,TUNNELL,0.26979439491568813,0.3788088472278602,0.26660981949310203,0.6228731269172193,0.315789473,0.151578947,0.571428571,0.326530612
156,TASCON,0.01068702290076323,0.02818270165208928,0.05827539764891489,0.4044755368216637,0.315789473,0.151578947,0.571428571,0.326530612
42,TURNBO,0.11206642560599954,0.3002915451895042,0.07881565453095292,0.3678635270231506,0.473684210,0.284210526,0.571428571,0.326530612
43,TRAURIG,0.049524574795767926,0.33819241982507287,0.1600182054459465,0.7270099088561773,0.578947368,0.393684210,0.571428571,0.326530612
3,TREUTEL,0.046189902236507235,0.4693877551020409,0.15954412023943598,0.5613841502438596,0.736842105,0.589473684,0.571428571,0.326530612
138,TYSZKO,0.12962367751439646,0.3430515063168126,0.08837980826227822,0.38878467547944195,0.473684210,0.284210526,0.571428571,0.326530612
1,TRAVIOLI,0.3724253381545463,0.696793002915452,0.28852621501049114,0.7479310573124708,0.473684210,0.284210526,0.571428571,0.326530612
147,TYRONE,0.11829382616847463,0.09523809523809519,0.07803238332019813,0.15516518438417198,0.736842105,0.589473684,0.571428571,0.326530612
159,TAMILLO,0.19027721976697437,0.7541302235179785,0.0909872768980811,0.5613841502438596,0.473684210,0.284210526,0.571428571,0.326530612
28,TARSHIS,0.06122923987909652,0.44080833056549923,0.01538983120498817,0.6280868624897931,0.210526315,0.084210526,0.571428571,0.326530612
165,TRONZO,0.03759207178250959,0.1341107871720113,0.06253185830736047,0.16213890053626984,0.789473684,0.663157894,0.571428571,0.326530612
13,TAVANA,0.00024106066693442107,0.02235179786200163,0.0849272312148707,0.4184229691258572,0.473684210,0.284210526,0.571428571,0.326530612
181,TRETOLA,0.12007499665193518,0.5160349854227405,0.07733156171057483,0.39575839163153975,0.842105263,0.741052631,0.571428571,0.326530612
179,TYSZKA,0.12962367751439646,0.3430515063168126,0.09105942029907176,0.4184229691258572,0.578947368,0.393684210,0.571428571,0.326530612
17,TACHELL,0.29472344984598886,0.4625850340136053,0.2860939517770937,0.7200361927040795,0.526315789,0.336842105,0.571428571,0.326530612
186,TAUSCH,0.012689080901112457,0.132748397731606,0.025201105437808773,0.48036435460022414,0.315789473,0.151578947,0.571428571,0.326530612
176,TUSKAN,0.35730547743404306,0.26530612244897933,0.10210766685077514,0.47944298545671166,0.315789473,0.151578947,0.571428571,0.326530612
185,TAPELLA,0.01056649256729602,0.4946550048590863,0.0716837640330251,0.5108247081411509,0.526315789,0.336842105,0.571428571,0.326530612
12,TAMASI,0.15331458417034935,0.24392614188532563,0.2213194838876755,0.5509235760157117,0.473684210,0.284210526,0.571428571,0.326530612
22,TAVELLA,0.015307352350341582,0.5208940719144802,0.0593781610640564,0.2946395074261244,0.789473684,0.663157894,0.571428571,0.326530612
169,TREPPA,0.03723048078210796,0.10787172011661791,0.06399533872745528,0.3329949462626614,0.736842105,0.589473684,0.571428571,0.326530612
135,TRENCH,0.03915896611758377,0.24781341107871688,0.06453126113481399,0.3173040849204418,0.736842105,0.589473684,0.571428571,0.326530612
167,TRAHAN,0.36270255792152123,0.3935860058309035,0.12986226383187413,0.3591463818330289,0.789473684,0.663157894,0.571428571,0.326530612
10,TREXLER,0.08488013927949621,0.3731778425655977,0.07072528741986324,0.23710634917131995,0.736842105,0.589473684,0.571428571,0.326530612
190,TANZINI,0.2020891924467655,0.49757045675413014,0.22936862619819695,0.6311213117648359,0.473684210,0.284210526,0.571428571,0.326530612
21,TRUNFIO,0.09375920717825083,0.6093294460641399,0.09018339328704304,0.5718447244720053,0.421052631,0.235789473,0.571428571,0.326530612
