,name,score,biasScore
160,TUASON,3.0015660647653375,3.3017226712418717
78,TAVANO,3.280808404697936,3.280808404697936
60,TYBERG,2.3423456367021545,3.2792838913830162
56,TARONE,3.2775222416788026,3.2775222416788026
36,TRUONG,2.9789390287922712,3.276832931671499
143,TRENDA,2.9780491004982723,3.2758540105481
129,TAMLYN,3.267441816910219,3.267441816910219
95,TAYSON,3.2577388470494384,3.2577388470494384
50,TRYBUS,2.9613589269545897,3.257494819650049
172,TROSEN,2.958249135074463,3.2540740485819097
187,TREIBER,2.9504980974096213,3.2455479071505837
128,TRABUE,2.9423903040016337,3.236629334401797
28,TARSHIS,3.2307544473523993,3.2307544473523993
195,TASSON,3.223579720074814,3.223579720074814
59,TARRANT,3.759008382842987,3.195157125416539
21,TRUNFIO,2.9030063082956614,3.193306939125228
107,TROSTLE,2.9023734122400437,3.192610753464048
83,TARGETT,3.74165422625408,3.180406092315968
122,TAMKIN,3.1701275070660078,3.1701275070660078
110,TRUXILLO,2.8809741486702687,3.1690715635372957
139,TRYBAN,2.8698892936968274,3.1568782230665104
63,TROSCH,2.851222469390821,3.136344716329903
67,TRAHEY,2.7959375604555525,3.0755313165011082
180,TURKETT,3.2884060870150713,3.074659691359092
119,TARNOFF,3.0692457828216644,3.0692457828216644
0,TREBON,2.786115987426091,3.0647275861687002
30,TROYAN,2.774990708219812,3.0524897790417933
92,TANTON,3.02763989313166,3.02763989313166
81,TREBUS,2.7489569224245862,3.023852614667045
7,TROCHA,2.7473168413289644,3.022048525461861
146,TARTARO,3.0204916391189807,3.0204916391189807
197,TAMRAT,3.5490981687153687,3.0167334434080635
31,TRAVEN,2.7346235053353793,3.0080858558689174
150,TANOUS,2.999905138479489,2.999905138479489
43,TRAURIG,2.700297403717668,2.970327144089435
185,TAPELLA,2.96824440923005,2.96824440923005
14,TUCHEK,2.6955938847978294,2.9651532732776125
96,TUBERA,2.685944705590649,2.9545391761497144
181,TRETOLA,2.6854873598547595,2.9540360958402356
184,TAWIAH,2.946486686805005,2.946486686805005
109,TANAKA,2.934936464279748,2.934936464279748
35,TAVEIRA,2.9335277070041528,2.9335277070041528
167,TRAHAN,2.663702824925375,2.9300731074179125
161,TAVITAS,2.917382108499332,2.917382108499332
100,TREHAN,2.6390497521713545,2.90295472738849
22,TAVELLA,2.8952382741264264,2.8952382741264264
26,TANNEY,2.8618286914534474,2.8618286914534474
74,TANANA,2.853116078519784,2.853116078519784
164,TURKEN,2.588449034480207,2.847293937928228
39,TRETIAK,2.5512939035673954,2.8064232939241354
64,TABORN,2.7963464907107194,2.7963464907107194
104,TAWEEL,3.2411580449032944,2.7549843381678003
106,TARZIAN,2.7533648832086817,2.7533648832086817
170,TAPAHA,2.749004442190703,2.749004442190703
116,TAMILIO,2.746185331748511,2.746185331748511
159,TAMILLO,2.7384063558297767,2.7384063558297767
82,TARLTON,2.734229684726114,2.734229684726114
8,TANADA,2.688055284588426,2.688055284588426
133,TABRON,2.680004086149283,2.680004086149283
123,TYNDELL,2.23490737371602,2.6595397747220635
144,TUNNELL,2.8308028260589366,2.646800642365106
2,TRANTHI,2.803766624705313,2.621521794099468
196,TYNDALL,2.2006139521189683,2.618730603021572
37,TRAFTON,2.375561682678537,2.613117850946391
108,TANTILLO,2.605084787327428,2.605084787327428
127,TABAKA,2.4789819217170357,2.4789819217170357
16,TANIELU,2.475956203765759,2.475956203765759
68,TABULLO,2.4696423598785313,2.4696423598785313
12,TAMASI,2.904105244959114,2.4684894582152466
114,TASSELL,2.901175040711113,2.4659987846044458
55,TABORA,2.4641500808553314,2.4641500808553314
3,TREUTEL,2.62796219479576,2.4571446521340357
131,TRESSEL,2.6240000852877854,2.45344007974408
33,TREFREN,2.212509427973965,2.4337603707713615
112,TRAFFAS,2.2076580615444032,2.428423867698844
19,TROXTEL,2.5487036756729555,2.3830379367542136
188,TAGAMI,2.798070375791397,2.3783598194226876
145,TROSTEL,2.5305666334889034,2.366079802312125
72,TROWELL,2.486310134955673,2.3246999761835543
190,TANZINI,2.6734735931328224,2.272452554162899
79,TUNSTILL,2.386892166274929,2.2317441754670586
132,TURIELLO,2.007244628696963,2.2079690915666594
182,TABAHA,2.1900341670245798,2.1900341670245798
121,TAMAKI,2.575479944454818,2.189157952786595
1,TRAVIOLI,2.3303236462743353,2.1788526092665035
192,TRUSSEL,2.2978501331134815,2.148489874461105
17,TACHELL,2.460941410937147,2.091800199296575
57,TWOHILL,2.453951648372481,2.085858901116609
85,TRUFANT,2.1989666794461367,2.056033845282138
158,TURBETT,2.1359459000978065,1.997109416591449
154,TAMIMI,2.336410776097664,1.985949159683014
124,TAGLIERI,2.266642917859821,1.9266464801808478
86,TUBIOLO,1.7470967215100706,1.9218063936610779
141,TARBERT,2.257080667751203,1.9185185675885226
53,TWOHIG,1.8942283154174369,1.8942283154174369
71,TRABERT,2.0179915101783297,1.8868220620167384
